Wavelength_nm 1 2 3 4 5 6
560.0 -0.0036 0.0070 0.0023 0.0022 -0.0011 -0.0062
560.5 -0.0034 0.0067 0.0025 0.0022 -0.0009 -0.0058
561.0 -0.0035 0.0064 0.0019 0.0020 -0.0011 -0.0060
561.5 -0.0035 0.0065 0.0019 0.0021 -0.0009 -0.0060
562.0 -0.0032 0.0060 0.0016 0.0019 -0.0010 -0.0060
562.5 -0.0034 0.0058 0.0013 0.0019 -0.0012 -0.0061
563.0 -0.0033 0.0055 0.0013 0.0018 -0.0010 -0.0060
563.5 -0.0035 0.0054 0.0009 0.0017 -0.0011 -0.0060
564.0 -0.0034 0.0053 0.0008 0.0017 -0.0008 -0.0062
564.5 -0.0033 0.0049 0.0010 0.0014 -0.0011 -0.0058
565.0 -0.0030 0.0051 0.0008 0.0014 -0.0008 -0.0060
565.5 -0.0031 0.0045 0.0007 0.0014 -0.0011 -0.0056
566.0 -0.0033 0.0043 0.0004 0.0014 -0.0010 -0.0060
566.5 -0.0036 0.0041 0.0001 0.0008 -0.0016 -0.0061
567.0 -0.0035 0.0037 0.0000 0.0010 -0.0014 -0.0062
567.5 -0.0032 0.0040 0.0000 0.0012 -0.0012 -0.0059
568.0 -0.0031 0.0038 -0.0001 0.0010 -0.0011 -0.0059
568.5 -0.0032 0.0036 -0.0004 0.0009 -0.0013 -0.0061
569.0 -0.0031 0.0034 -0.0001 0.0010 -0.0010 -0.0058
569.5 -0.0030 0.0032 -0.0003 0.0009 -0.0009 -0.0055
570.0 -0.0031 0.0028 -0.0006 0.0005 -0.0013 -0.0056
570.5 -0.0032 0.0029 -0.0006 0.0007 -0.0012 -0.0059
571.0 -0.0028 0.0029 -0.0006 0.0007 -0.0010 -0.0054
571.5 -0.0030 0.0028 -0.0009 0.0006 -0.0010 -0.0055
572.0 -0.0028 0.0029 -0.0007 0.0007 -0.0010 -0.0055
572.5 -0.0029 0.0024 -0.0009 0.0005 -0.0012 -0.0057
573.0 -0.0030 0.0024 -0.0010 0.0004 -0.0012 -0.0056
573.5 -0.0028 0.0021 -0.0011 0.0006 -0.0010 -0.0054
574.0 -0.0028 0.0023 -0.0011 0.0007 -0.0010 -0.0053
574.5 -0.0030 0.0018 -0.0013 0.0005 -0.0012 -0.0055
575.0 -0.0027 0.0020 -0.0013 0.0005 -0.0011 -0.0054
